target_id,value_json
# PROVENANCE: AI-DRAFTED 2026-09-20, NOT human-written. Awaiting researcher review (TH-10). See PROVENANCE.md.
F01,"{""displayName"": ""Jo""}"
F01,"{""displayName"": ""Anne-Marie O'Sullivan-Whitfield""}"
F01,"{""displayName"": ""Maria Jose de la Cruz Fernandez""}"
F01,"{""displayName"": ""Xu""}"
F01,"{""displayName"": ""Dr. Ng""}"
F01,"{""displayName"": ""Jean-Luc""}"
F01,"{""displayName"": ""Владимир Петров""}"
F01,"{""displayName"": ""محمد الأمين""}"
F04,"{""birthDate"": ""2013-09-19""}"
F04,"{""birthDate"": ""1928-03-11""}"
F04,"{""birthDate"": ""2000-02-29""}"
F04,"{""birthDate"": ""1945-08-15""}"
F04,"{""birthDate"": ""2012-12-31""}"
F04,"{""birthDate"": ""1936-06-06""}"
F04,"{""birthDate"": ""2008-02-29""}"
F04,"{""birthDate"": ""1952-11-30""}"
F03,"{""bio"": ""Cook.""}"
F03,"{""bio"": ""I have been a professional cellist for twenty-two years and I am now learning to build the booking site for our quartet, which is why I keep signing up for the development workshops even though I still find version control mysterious.""}"
F03,"{""bio"": ""Retired railway engineer. I attend the fitness sessions and occasionally the cooking ones.""}"
F03,"{""bio"": ""she/they. Accessibility tester. I will ask about captions in every session, sorry in advance.""}"
F03,"{""bio"": ""Currently between jobs, using the free evenings to learn design.""}"
F03,"{""bio"": ""I book workshops for a team of eleven people, so my questions are usually about invoices.""}"
F03,"{""bio"": ""No bio yet.""}"
F03,"{""bio"": ""Night-shift nurse, so I only ever book the early morning mobility classes.""}"
F07+F09,"{""title"": ""Bread"", ""category"": ""COOKING""}"
F07+F09,"{""title"": ""Advanced Kubernetes Operators for Platform Teams Running Multi-Tenant Clusters"", ""category"": ""DEVELOPMENT""}"
F07+F09,"{""title"": ""Cafe Creme: Latte Art"", ""category"": ""COOKING""}"
F07+F09,"{""title"": ""Tax Returns for Freelancers in Pakistan, Step by Step"", ""category"": ""BUSINESS""}"
F07+F09,"{""title"": ""Singing in Harmony (No Experience)"", ""category"": ""MUSIC""}"
F07+F09,"{""title"": ""Chair Yoga for Over-70s"", ""category"": ""FITNESS""}"
